num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2639	2998.570868	67.523223	11.395799	3.727581	73.805983
2641	3000.660875	67.284537	11.396564	3.729201	75.286914
2643	3002.751154	67.249323	11.424237	3.730916	72.358517
2647	3006.933057	67.018197	11.458772	3.733997	74.514289
2649	3009.023872	66.840132	11.490135	3.735141	76.744475
2651	3011.115390	66.807851	11.511288	3.736174	72.660338
2653	3013.206476	66.637898	11.536743	3.737359	78.368864
2657	3017.389671	66.388721	11.579853	3.739183	76.077486
2659	3019.480678	66.331233	11.617914	3.740593	74.643331
2661	3021.572861	66.176922	11.639416	3.741440	73.891228
2663	3023.664839	65.962226	11.648550	3.743161	76.782186
2667	3027.850203	65.722779	11.722732	3.746975	72.767948
2669	3029.942021	65.673165	11.749213	3.748747	73.774186
2671	3032.035007	65.658104	11.769523	3.750913	71.590644
2673	3034.126778	65.501963	11.791259	3.752206	72.223867
2677	3038.309787	65.332508	11.823387	3.754282	71.006318
2679	3040.400404	65.234814	11.867727	3.756452	69.980628
2681	3042.491304	65.177638	11.897530	3.756329	71.742497
2683	3044.581534	65.006164	11.935313	3.757167	72.998291
2687	3048.763799	64.795900	11.982091	3.760641	69.828349
2689	3050.854271	64.696371	12.023983	3.761366	68.810424
2691	3052.945781	64.537747	12.045734	3.762374	68.392984
2693	3055.036836	64.415036	12.072247	3.764104	70.650487
2697	3059.219991	64.202470	12.114945	3.766750	70.892013
2699	3061.311712	64.135232	12.152548	3.767554	69.795130
2701	3063.403462	63.979412	12.169317	3.768996	70.403785
2703	3065.494824	63.965893	12.200299	3.770257	66.052410
2707	3069.678006	63.711656	12.244490	3.773095	66.672504
2709	3071.769230	63.639777	12.277257	3.774509	68.489882
2711	3073.860246	63.497727	12.313044	3.776429	66.453541
2713	3075.950826	63.407566	12.359502	3.777898	68.912912
2717	3080.130860	63.109445	12.426654	3.782170	67.544697
2719	3082.221262	62.962435	12.475945	3.783591	69.561820
2721	3084.311495	62.920572	12.497724	3.785253	65.321576
2723	3086.401574	62.786732	12.517052	3.786876	65.700367
2725	3088.492229	62.652781	12.542778	3.788163	66.904177
2727	3090.582836	62.578243	12.585555	3.789639	66.967840
2729	3092.673852	62.433101	12.609308	3.791246	66.495984
2731	3094.764831	62.368531	12.636242	3.792254	64.848806
2735	3098.947086	62.062279	12.678443	3.794773	63.837563
2737	3101.038442	61.971662	12.709570	3.795692	64.711788
2739	3103.130318	61.886158	12.742733	3.797283	62.648989
2741	3105.221994	61.715037	12.775621	3.798077	63.468821
2745	3109.406135	61.385396	12.816667	3.801492	63.193505
2747	3111.498094	61.361559	12.838684	3.803688	63.512749
2749	3113.590294	61.240591	12.883615	3.805128	64.740431
2751	3115.682533	61.152360	12.908350	3.807151	61.852254
2755	3119.866155	60.958513	12.935590	3.810146	61.650864
2757	3121.957923	60.862393	12.959261	3.811281	62.370878
2759	3124.049213	60.762136	12.986144	3.812377	60.071651
2761	3126.139859	60.712443	13.033309	3.813713	59.945721
2765	3130.321603	60.414968	13.067837	3.815412	61.360614
2767	3132.412838	60.294187	13.097909	3.817084	62.547144
2769	3134.503514	60.183926	13.112620	3.818327	58.699538
2771	3136.594822	60.037972	13.150651	3.819728	59.452466
2775	3140.776854	59.801110	13.198598	3.822339	61.084726
2777	3142.868313	59.714634	13.221535	3.823554	59.006219
2779	3144.959776	59.593010	13.249630	3.824869	57.092394
2781	3147.050848	59.491164	13.267248	3.826153	59.538267
2785	3151.233580	59.324487	13.308280	3.828782	60.163653
2787	3153.324319	59.063553	13.342451	3.830550	59.498437
2789	3155.415475	59.026007	13.375182	3.831604	58.518358
2791	3157.506957	58.921840	13.384888	3.833514	57.205601
2795	3161.688057	58.647223	13.444962	3.836346	57.631558
2797	3163.777982	58.462031	13.465457	3.838993	57.037859
2799	3165.867864	58.408225	13.501127	3.839436	57.216871
2801	3167.957776	58.214930	13.520678	3.841577	56.202441
2805	3172.138245	57.978461	13.573082	3.844192	56.342049
2807	3174.228616	57.877475	13.585174	3.845327	57.242617
2809	3176.319117	57.757247	13.595055	3.846701	56.087194
2811	3178.409787	57.607327	13.598504	3.847762	55.731405
2815	3182.591857	57.388235	13.641794	3.849901	55.358167
2817	3184.682712	57.260771	13.664890	3.851079	53.102162
2819	3186.773965	57.137172	13.683904	3.852615	52.382626
2821	3188.865903	56.999975	13.697806	3.853547	54.776241
2825	3193.049364	56.731341	13.708444	3.857289	55.505659
2827	3195.141037	56.611132	13.750416	3.857936	53.126536
2829	3197.232907	56.518503	13.759032	3.859396	52.890149
2831	3199.324893	56.417659	13.776314	3.860962	53.616310
2835	3203.508281	56.162473	13.782761	3.864851	53.018205
2837	3205.599797	56.112166	13.795030	3.864976	52.093993
2839	3207.691047	56.009370	13.812358	3.866166	51.657364
2841	3209.782114	55.848051	13.818736	3.867311	50.794608
2845	3213.964080	55.612853	13.835266	3.869449	49.864022
2847	3216.055032	55.526591	13.878984	3.870331	52.018948
2849	3218.145984	55.407771	13.887085	3.871762	50.217766
2851	3220.236774	55.248988	13.901960	3.872583	53.211775
2855	3224.418656	55.065058	13.926969	3.875055	47.839954
2857	3226.509629	54.857737	13.935813	3.875887	49.995333
2859	3228.601175	54.770719	13.941036	3.876918	46.529101
2861	3230.691897	54.652395	13.955211	3.877958	49.429069
2865	3234.874109	54.406594	13.967576	3.880484	48.664457
2867	3236.965028	54.290540	13.977624	3.881645	47.441756
2869	3239.055179	54.182420	13.994436	3.882989	47.247910
2871	3241.146121	53.994430	14.026873	3.885735	48.994888
2875	3245.327563	53.773633	14.023918	3.887074	48.498438
2877	3247.417456	53.698715	14.057645	3.888848	47.559475
