crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	1766	0.000000
281474976710655.000000	144.021133	1767	0.000000
281474976710655.000000	Inf	1768	0.000000
281474976710655.000000	Inf	1769	0.000000
281474976710655.000000	148.701828	1770	0.000000
281474976710655.000000	78.470032	1771	0.000000
281474976710655.000000	Inf	1772	0.000000
281474976710655.000000	153.525940	1773	0.000000
281474976710655.000000	Inf	1774	0.000000
281474976710655.000000	Inf	1775	0.000000
281474976710655.000000	Inf	1776	0.000000
281474976710655.000000	Inf	1777	0.000000
281474976710655.000000	Inf	1778	0.000000
281474976710655.000000	Inf	1779	0.000000
281474976710655.000000	148.950119	1780	0.000000
281474976710655.000000	Inf	1781	0.000000
281474976710655.000000	Inf	1782	0.000000
281474976710655.000000	Inf	1783	0.000000
281474976710655.000000	Inf	1784	0.000000
281474976710655.000000	Inf	1785	0.000000
281474976710655.000000	Inf	1786	0.000000
281474976710655.000000	Inf	1787	0.000000
281474976710655.000000	141.579498	1788	0.000000
281474976710655.000000	Inf	1789	0.000000
281474976710655.000000	69.958107	1790	0.000000
281474976710655.000000	Inf	1791	0.000000
281474976710655.000000	134.824203	1792	0.000000
281474976710655.000000	Inf	1793	0.000000
281474976710655.000000	Inf	1794	0.000000
281474976710655.000000	Inf	1795	0.000000
281474976710655.000000	Inf	1796	0.000000
281474976710655.000000	Inf	1797	0.000000
281474976710655.000000	Inf	1798	0.000000
281474976710655.000000	Inf	1799	0.000000
281474976710655.000000	Inf	1800	0.000000
281474976710655.000000	Inf	1801	0.000000
281474976710655.000000	Inf	1802	0.000000
281474976710655.000000	Inf	1803	0.000000
281474976710655.000000	Inf	1804	0.000000
281474976710655.000000	Inf	1805	0.000000
281474976710655.000000	Inf	1806	0.000000
281474976710655.000000	142.742615	1807	0.000000
281474976710655.000000	Inf	1808	0.000000
281474976710655.000000	Inf	1809	0.000000
281474976710655.000000	131.728302	1810	0.000000
281474976710655.000000	Inf	1811	0.000000
281474976710655.000000	Inf	1812	0.000000
281474976710655.000000	Inf	1813	0.000000
281474976710655.000000	Inf	1814	0.000000
281474976710655.000000	Inf	1815	0.000000
281474976710655.000000	131.657593	1816	0.000000
281474976710655.000000	Inf	1817	0.000000
281474976710655.000000	66.517921	1818	0.000000
281474976710655.000000	139.772858	1819	0.000000
281474976710655.000000	Inf	1820	0.000000
281474976710655.000000	Inf	1821	0.000000
281474976710655.000000	Inf	1822	0.000000
281474976710655.000000	136.394531	1823	0.000000
281474976710655.000000	139.266632	1824	0.000000
281474976710655.000000	67.447762	1825	0.000000
281474976710655.000000	135.533875	1826	0.000000
281474976710655.000000	Inf	1827	0.000000
281474976710655.000000	137.447891	1828	0.000000
281474976710655.000000	135.916702	1829	0.000000
281474976710655.000000	136.523422	1830	0.000000
281474976710655.000000	135.830368	1831	0.000000
281474976710655.000000	Inf	1832	0.000000
281474976710655.000000	Inf	1833	0.000000
281474976710655.000000	Inf	1834	0.000000
281474976710655.000000	Inf	1835	0.000000
281474976710655.000000	68.628883	1836	0.000000
281474976710655.000000	134.804245	1837	0.000000
281474976710655.000000	138.077698	1838	0.000000
281474976710655.000000	Inf	1839	0.000000
281474976710655.000000	Inf	1840	0.000000
281474976710655.000000	133.580521	1841	0.000000
281474976710655.000000	133.784531	1842	0.000000
281474976710655.000000	Inf	1843	0.000000
281474976710655.000000	Inf	1844	0.000000
281474976710655.000000	Inf	1845	0.000000
281474976710655.000000	Inf	1846	0.000000
281474976710655.000000	Inf	1847	0.000000
281474976710655.000000	134.916031	1848	0.000000
281474976710655.000000	67.339211	1849	0.000000
281474976710655.000000	131.611328	1850	0.000000
281474976710655.000000	134.196625	1851	0.000000
281474976710655.000000	Inf	1852	0.000000
281474976710655.000000	Inf	1853	0.000000
281474976710655.000000	132.053955	1854	0.000000
281474976710655.000000	65.505653	1855	0.000000
281474976710655.000000	132.819351	1856	0.000000
281474976710655.000000	Inf	1857	0.000000
281474976710655.000000	Inf	1858	0.000000
281474976710655.000000	64.531548	1859	0.000000
281474976710655.000000	Inf	1860	0.000000
281474976710655.000000	132.363724	1861	0.000000
281474976710655.000000	130.049225	1862	0.000000
281474976710655.000000	Inf	1863	0.000000
281474976710655.000000	131.827621	1864	0.000000
281474976710655.000000	127.336449	1865	0.000000
281474976710655.000000	128.311859	1866	0.000000
281474976710655.000000	123.107773	1867	0.000000
281474976710655.000000	128.669968	1868	0.000000
281474976710655.000000	Inf	1869	0.000000
281474976710655.000000	Inf	1870	0.000000
281474976710655.000000	Inf	1871	0.000000
281474976710655.000000	Inf	1872	0.000000
281474976710655.000000	122.787239	1873	0.000000
281474976710655.000000	126.450623	1874	0.000000
281474976710655.000000	122.633644	1875	0.000000
281474976710655.000000	127.435974	1876	0.000000
281474976710655.000000	124.839058	1877	0.000000
281474976710655.000000	Inf	1878	0.000000
281474976710655.000000	127.877831	1879	0.000000
281474976710655.000000	124.827187	1880	0.000000
281474976710655.000000	Inf	1881	0.000000
281474976710655.000000	126.883865	1882	0.000000
281474976710655.000000	59.142494	1883	0.000000
281474976710655.000000	128.355133	1884	0.000000
281474976710655.000000	Inf	1885	0.000000
281474976710655.000000	Inf	1886	0.000000
281474976710655.000000	124.074692	1887	0.000000
281474976710655.000000	124.340302	1888	0.000000
281474976710655.000000	123.986847	1889	0.000000
281474976710655.000000	Inf	1890	0.000000
281474976710655.000000	60.062584	1891	0.000000
281474976710655.000000	130.095413	1892	0.000000
281474976710655.000000	123.563828	1893	0.000000
281474976710655.000000	Inf	1894	0.000000
281474976710655.000000	Inf	1895	0.000000
281474976710655.000000	Inf	1896	0.000000
281474976710655.000000	Inf	1897	0.000000
281474976710655.000000	Inf	1898	0.000000
281474976710655.000000	Inf	1899	0.000000
281474976710655.000000	63.035500	1900	0.000000
281474976710655.000000	119.452904	1901	0.000000
281474976710655.000000	Inf	1902	0.000000
281474976710655.000000	111.967545	1903	0.000000
281474976710655.000000	123.681541	1904	0.000000
281474976710655.000000	117.404999	1905	0.000000
281474976710655.000000	Inf	1906	0.000000
281474976710655.000000	Inf	1907	0.000000
281474976710655.000000	Inf	1908	0.000000
281474976710655.000000	58.004372	1909	0.000000
281474976710655.000000	123.188004	1910	0.000000
281474976710655.000000	Inf	1911	0.000000
281474976710655.000000	123.860527	1912	0.000000
281474976710655.000000	Inf	1913	0.000000
281474976710655.000000	Inf	1914	0.000000
281474976710655.000000	115.067368	1915	0.000000
281474976710655.000000	124.078690	1916	0.000000
281474976710655.000000	114.471962	1917	0.000000
281474976710655.000000	124.847305	1918	0.000000
281474976710655.000000	113.498680	1919	0.000000
281474976710655.000000	Inf	1920	0.000000
281474976710655.000000	Inf	1921	0.000000
281474976710655.000000	127.001289	1922	0.000000
281474976710655.000000	75.241776	1923	0.000000
